ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
70,0.6308028104461466,4,4.0,36.91971895538534,CRITICAL
71,0.6332206165499288,4,4.0,36.67793834500712,CRITICAL
72,0.6335310258722181,12,12.0,36.64689741277819,CRITICAL
73,0.6218661246581803,7,7.0,37.81338753418198,CRITICAL
74,0.5717636242489605,7,2.0,42.823637575103945,CRITICAL
75,0.5965372102795911,3,2.0,40.34627897204089,CRITICAL
76,0.557357702923378,4,0.0,44.264229707662196,CRITICAL
77,0.6099733524046904,14,10.0,39.00266475953096,CRITICAL
78,0.5627741635950148,11,1.0,43.72258364049853,CRITICAL
79,0.5654998377360071,3,1.0,43.45001622639929,CRITICAL
8,0.6912474734398495,47,47.0,30.87525265601505,CRITICAL
80,0.5803988449834279,10,3.0,41.960115501657214,CRITICAL
81,0.6050111504656959,9,5.0,39.49888495343041,CRITICAL
82,0.5801652892561984,1,0.0,41.98347107438016,CRITICAL
83,0.5939874890411447,2,1.0,40.60125109588553,CRITICAL
84,0.572491145218418,1,0.0,42.750885478158196,CRITICAL
85,0.5586776859504132,3,0.0,44.132231404958674,CRITICAL
86,0.5460761958775144,1,0.0,45.392380412248556,CRITICAL
87,0.5592488948277806,1,0.0,44.07511051722194,CRITICAL
88,0.5076741440377804,3,0.0,49.23258559622196,CRITICAL
89,0.5800865800865801,3,0.0,41.99134199134199,CRITICAL
9,0.5900316470321926,3,0.0,40.996835296780745,CRITICAL
90,0.5319053392983414,6,0.0,46.80946607016586,CRITICAL
91,0.5722482576197547,9,0.0,42.775174238024526,CRITICAL
92,0.5345700943311245,2,0.0,46.54299056688755,CRITICAL
94,0.5111167078163872,5,0.0,48.88832921836128,CRITICAL
95,0.5254832734029932,10,0.0,47.451672659700684,CRITICAL
96,0.5956615180582847,2,1.0,40.43384819417153,CRITICAL
97,0.6539046481080125,14,14.0,34.609535189198745,CRITICAL
98,0.6496068423522816,6,6.0,35.03931576477184,CRITICAL
99,0.6665140740431525,4,4.0,33.34859259568474,CRITICAL
CANT_1,0.6057080553808514,5,4.0,39.42919446191486,CRITICAL
CANT_2,0.5684505445095687,30,6.0,43.154945549043134,CRITICAL
CANT_3,0.5498033894137395,20,1.0,45.01966105862605,CRITICAL
CANT_4,0.4865633142756279,28,0.0,51.34366857243722,ATTENTION
CANT_5,0.5438907162550354,12,0.0,45.61092837449646,CRITICAL
CANT_6,0.6069708518489572,56,35.0,39.30291481510429,CRITICAL
CANT_7,0.6389307476021713,15,15.0,36.106925239782875,CRITICAL
